"Id","proj_id","repo_name","owner_login","language","n_pr","n_ci_after","n_ci_after_tested"
1,1334,"rails","rails","Ruby",10829,7369,3447
2,6,"cocos2d-x","cocos2d","C++",8153,5837,3280
3,9570147,"homebrew-cask","caskroom","Ruby",6353,6225,6116
4,634,"symfony","symfony","PHP",7618,5675,4284
5,1360482,"app","Wikia","PHP",5288,1445,1339
6,183,"zf2","zendframework","PHP",5107,4026,3304
7,524804,"core","owncloud","PHP",4471,1205,184
8,3275,"Baystation12","Baystation12","C++",4533,1720,1668
9,10252,"commcare-hq","dimagi","Python",4728,4560,4277
10,4708601,"bootstrap","twbs","JavaScript",4560,3689,3311
11,28763,"-tg-station","tgstation","Python",3680,2081,2039
12,37,"angular.js","angular","JavaScript",4567,3942,3870
13,2184,"joomla-cms","joomla","PHP",4254,3267,2985
14,312,"katello","Katello","Ruby",4498,3567,2099
15,8196280,"spark","apache","Scala",3133,2897,383
16,5495,"dmd","D-Programming-Language","C",4067,1047,98
17,4135,"scala","scala","Scala",4072,445,9
18,392,"brackets","adobe","JavaScript",4149,2923,2847
19,1350237,"ppsspp","hrydgard","C++",3926,1301,1289
20,853,"metasploit-framework","rapid7","Ruby",3844,2843,2785
21,9316,"cakephp","cakephp","PHP",3454,2802,2143
22,23995,"cdnjs","cdnjs","JavaScript",3500,3222,2976
23,17694,"ceph","ceph","C++",2892,1636,1
24,1992097,"framework","laravel","PHP",2965,2963,2908
25,864,"bitcoin","bitcoin","C++",3463,372,352
26,961,"ipython","ipython","Python",3412,2342,2320
27,847,"puppet","puppetlabs","Ruby",3290,2779,1911
28,157,"wet-boew","wet-boew","JavaScript",3495,3431,3345
29,540,"ember.js","emberjs","JavaScript",3121,2778,2737
30,67874,"openmicroscopy","openmicroscopy","Java",3158,2592,2187
31,424371,"calcentral","ets-berkeley-edu","Ruby",3118,3059,2967
32,9793,"sympy","sympy","Python",3303,1952,1920
33,9427,"spree","spree","Ruby",3080,2630,413
34,114167,"phpbb","phpbb","PHP",3102,2456,2255
35,4095,"elasticsearch","elasticsearch","Java",2732,2477,64
36,1018,"node","joyent","JavaScript",3125,2390,7
37,27329,"pandas","pydata","Python",3036,1364,1354
38,6026,"gitlabhq","gitlabhq","Ruby",2925,2907,2019
39,1321133,"DefinitelyTyped","borisyankov","JavaScript",2483,2267,2221
40,6368,"kuma","mozilla","Python",2783,873,803
41,2539527,"discourse","discourse","JavaScript",2539,2503,2461
42,18217,"zamboni","mozilla","Python",2696,374,372
43,3750617,"silverstripe-framework","silverstripe","PHP",2614,1116,1099
44,3137,"pdf.js","mozilla","JavaScript",2575,1348,1337
45,860,"bedrock","mozilla","Python",2440,81,79
46,772,"socorro","mozilla","Python",2474,199,196
47,4936,"processmaker","colosa","PHP",2542,526,12
48,3486433,"ggrc-core","reciprocity","Ruby",2016,0,0
49,5854,"kitsune","mozilla","Python",2212,628,621
50,14364,"dolibarr","Dolibarr","PHP",1994,777,749
51,1528221,"PrestaShop","PrestaShop","PHP",2139,0,0
52,1717,"TrinityCore","TrinityCore","C++",2244,217,204
53,5768596,"Ghost","TryGhost","JavaScript",2071,1606,1467
54,1545591,"openproject","opf","Ruby",2148,2028,1900
55,5219,"scikit-learn","scikit-learn","C",2068,1289,1276
56,19810,"astropy","astropy","C",2024,1751,1720
57,2093,"fog","fog","Ruby",2211,1509,1481
58,15762,"woocommerce","woothemes","PHP",1987,182,178
59,8127,"matplotlib","matplotlib","Python",2131,1498,1464
60,4523,"melpa","milkypostman","JavaScript",1824,1463,1444
61,18411,"ol3","openlayers","JavaScript",2053,2037,2018
62,5482310,"pim-community-dev","akeneo","PHP",1683,919,905
63,10912,"mruby","mruby","C",2036,1895,1753
64,2045,"libgit2","libgit2","C",1951,1523,1458
65,6013,"numpy","numpy","C",1869,1564,1541
66,11117,"shogun","shogun-toolbox","C++",1984,1251,1221
67,42952,"whitehall","alphagov","Ruby",1830,1696,1
68,6260617,"presto","facebook","Java",1654,822,808
69,2812,"diaspora","diaspora","Ruby",1894,995,947
70,2620049,"xtuple","xtuple","JavaScript",1863,788,775
71,21603,"otwarchive","otwcode","Ruby",1881,645,634
72,7788191,"moonstone","enyojs","JavaScript",1751,659,641
73,3227,"Elgg","Elgg","PHP",1624,1466,971
74,3276602,"livecode","runrev","C++",1454,0,0
75,3516,"jquery-mobile","jquery","JavaScript",1839,465,439
76,12075,"pioneer","pioneerspacesim","C",1779,74,74
77,2558,"foundation","zurb","PHP",1704,857,0
78,127,"addon-sdk","mozilla","Python",1666,950,40
79,1043,"django-cms","divio","Python",1632,1263,1187
80,1799,"Theano","Theano","Python",1711,1008,977
81,2265342,"RIOT","RIOT-OS","C",1436,697,688
82,5497780,"onepercentclub-site","onepercentclub","Python",1653,1555,1501
83,8932041,"pouchdb","pouchdb","JavaScript",1412,1379,1248
84,956098,"virt-test","autotest","Python",1637,272,271
85,2254769,"appium","appium","JavaScript",1669,1669,1639
86,1165,"concrete5","concrete5","PHP",1698,308,300
87,6313,"jquery","jquery","JavaScript",1685,325,308
88,31723,"scipy","scipy","C",1430,845,830
89,3905191,"react","facebook","JavaScript",1305,1297,1273
90,4516,"laravel","laravel","PHP",1480,808,242
91,213,"butter","mozilla","JavaScript",1642,594,574
92,8052452,"logstash","elasticsearch","Ruby",1480,832,96
93,1227,"MuseScore","musescore","C++",1427,1389,1329
94,3290625,"configuration","edx","Python",1452,685,672
95,3816,"boto","boto","Python",1525,1028,198
96,1920336,"SocialSDK","OpenNTF","JavaScript",1555,580,567
97,1207,"pyrocms","pyrocms","PHP",1566,946,427
98,21416,"SonataAdminBundle","sonata-project","PHP",1484,1252,896
99,23052,"buildbot","buildbot","Python",1331,481,470
100,24444,"phpmyadmin","phpmyadmin","PHP",1395,1299,1238
101,10322399,"manageiq","ManageIQ","Ruby",849,730,715
102,9315494,"deis","deis","Python",1154,1154,565
104,2831,"cesium","AnalyticalGraphicsInc","JavaScript",1375,803,800
105,434,"data","emberjs","JavaScript",1330,1211,1116
106,4376708,"backbone","jashkenas","JavaScript",1428,649,630
107,807,"bioformats","openmicroscopy","Java",1389,1080,1065
108,3086778,"loomio","loomio","Ruby",1436,903,867
109,8540,"openFrameworks","openframeworks","C",1337,0,0
110,3087647,"web-platform-tests","w3c","JavaScript",1241,337,333
111,514257,"bluebottle","onepercentclub","JavaScript",1151,1151,1111
112,696102,"refinerycms","refinery","Ruby",1406,437,409
113,11703554,"code-dot-org","code-dot-org","JavaScript",382,315,309
114,11379,"smart-answers","alphagov","Ruby",1264,469,2
115,3644,"jquery-ui","jquery","JavaScript",1373,371,362
116,7414180,"CM","cargomedia","PHP",1259,421,417
117,4567,"Pokemon-Showdown","Zarel","JavaScript",1186,145,143
118,174642,"Sylius","Sylius","PHP",1225,1224,1166
119,5831963,"hhvm","facebook","C++",1232,1167,1112
120,10739107,"chapel","chapel-lang","C",799,450,426
121,22841,"django-rest-framework","tomchristie","Python",1127,1018,997
122,6801328,"jekyll","jekyll","Ruby",1321,1103,1055
123,3219077,"ka-lite","learningequality","Python",1105,362,331
124,5573316,"cryptography","pyca","Python",1165,1163,1155
125,1888930,"Elkarte","elkarte","PHP",1279,594,570
126,7537,"kivy","kivy","Python",1125,896,4
127,16356,"cphalcon","phalcon","C",1189,1189,1104
128,216519,"suricata","inliniac","C",1204,191,184
129,6806,"composer","composer","PHP",1194,1146,835
130,340,"netty","netty","Java",1133,726,3
131,3245727,"Easy-Digital-Downloads","easydigitaldownloads","PHP",1094,683,652
132,27319,"doctrine2","doctrine","PHP",1155,975,793
133,11688174,"robottelo","SatelliteQE","Python",1048,873,863
134,230961,"homebrew-science","Homebrew","Ruby",819,0,0
135,6815,"vagrant","mitchellh","Ruby",1195,811,799
136,4023,"ralph","allegro","Python",1116,588,422
137,2647582,"mifosx","openMF","Java",1127,1003,977
138,346,"Phraseanet","alchemy-fr","PHP",1148,1132,1057
139,152908,"core","zikula","PHP",1103,1017,890
140,24397,"linguist","github","Ruby",1089,955,921
141,10408,"khan-exercises","Khan","JavaScript",1189,16,16
142,489,"active_merchant","Shopify","Ruby",1170,910,843
143,27903,"mwEmbed","kaltura","JavaScript",805,643,0
144,683351,"backbone.marionette","marionettejs","JavaScript",1031,922,893
145,1926083,"pokemon-online","po-devs","C++",1102,526,516
146,2640548,"ezpublish-kernel","ezsystems","PHP",1058,833,817
147,21352,"mozillians","mozilla","JavaScript",1093,8,8
148,9801225,"zds-site","zestedesavoir","Python",846,608,592
149,19428,"mne-python","mne-tools","Python",1060,450,446
150,6849,"wet-boew-drupal","wet-boew","PHP",1075,1074,922
151,17635,"rSENSE","isenseDev","Ruby",1136,665,657
152,7704341,"neovim","neovim","C",875,854,845
153,1996840,"Leaflet","Leaflet","JavaScript",1068,624,459
154,63123,"iris","SciTools","Python",1043,875,862
155,218181,"ome-documentation","openmicroscopy","Python",1025,835,822
156,390,"requests","kennethreitz","Python",1064,874,535
157,7347,"Markus","MarkUsProject","Ruby",1052,1,1
158,12031,"rubinius","rubinius","Ruby",1070,928,602
159,55,"yui3","yui","JavaScript",1094,979,816
160,1394906,"etherpad-lite","ether","JavaScript",990,525,510
162,20629,"ace","ajaxorg","JavaScript",1035,809,624
163,1127,"zeroclickinfo-spice","duckduckgo","JavaScript",889,782,765
164,4216758,"ripple-client","ripple","JavaScript",631,620,609
165,6189264,"cockpit","cockpit-project","JavaScript",803,622,586
166,4376706,"underscore","jashkenas","JavaScript",979,570,560
167,174722,"fontforge","fontforge","C",988,546,537
168,8277685,"OTM2","OpenTreeMap","Python",953,2,1
169,21496,"WCF","WoltLab","PHP",1004,430,422
170,3701929,"kibana","elasticsearch","JavaScript",606,71,64
171,26423,"CONNECT","CONNECT-Solution","Java",958,321,12
172,2294498,"pylearn2","lisa-lab","Python",893,810,803
173,2254820,"locawebstyle","locaweb","JavaScript",937,654,428
174,8024,"eden","flavour","Python",881,15,14
175,3665,"mojito","yahoo","JavaScript",1005,790,729
176,3459504,"pdns","PowerDNS","C++",741,734,728
178,2605913,"ezpublish-legacy","ezsystems","JavaScript",961,486,480
179,1282,"pyramid","Pylons","Python",896,577,268
180,6146926,"exercism.io","exercism","Ruby",910,769,763
181,46357,"rspec-core","rspec","Ruby",914,836,698
182,2398573,"WordPress-Android","wordpress-mobile","Java",794,769,54
183,3963440,"otter","rackerlabs","Python",738,0,0
184,1344612,"scikit-image","scikit-image","Python",866,579,573
185,760,"enyo","enyojs","JavaScript",850,621,616
186,2989453,"sequelize","sequelize","JavaScript",807,641,630
187,2909103,"vumi-go","praekelt","Python",823,620,619
188,39891,"ninja-ide","ninja-ide","Python",946,269,261
189,938650,"Change","RBSChange","PHP",918,917,911
190,5603,"php-src","php","C",795,698,573
191,5455,"youtube-dl","rg3","Python",797,645,627
192,5516,"geoserver","geoserver","Java",804,465,357
193,27142,"pip","pypa","Python",795,707,646
194,7509659,"php-mpos","MPOS","PHP",927,0,0
195,29522,"libzmq","zeromq","C++",876,522,517
196,215558,"remo","mozilla","Python",855,6,6
197,35378,"sensu-community-plugins","sensu","Ruby",784,580,574
198,3105682,"c2cgeoportal","camptocamp","Python",831,377,374
199,6126301,"community-app","openMF","JavaScript",808,392,377
200,5627076,"spotlight","alphagov","JavaScript",836,834,817
201,866,"geonode","GeoNode","JavaScript",782,558,473
202,3825551,"bundler","bundler","Ruby",832,324,308
203,6422123,"fxa-content-server","mozilla","JavaScript",787,769,761
204,7976200,"erpnext","frappe","Python",737,438,422
205,4068,"jruby","jruby","Ruby",766,641,531
206,687922,"rubocop","bbatsov","Ruby",775,772,765
207,4931722,"Malhar","DataTorrent","Java",747,728,714
208,5210,"okhttp","square","Java",737,696,687
209,7332776,"eslint","eslint","JavaScript",681,681,678
210,45614,"puppetlabs-apache","puppetlabs","Ruby",761,631,590
211,8017495,"plottable","palantir","JavaScript",609,570,542
212,15806,"core","weld","Java",718,149,134
213,4453,"nette","nette","PHP",864,449,439
214,6821558,"MozStumbler","mozilla","Java",694,683,670
215,31402,"dokuwiki","splitbrain","PHP",779,293,290
216,5591,"facter","puppetlabs","Ruby",812,431,422
217,9316280,"concrete5-5.7.0","concrete5","PHP",620,552,534
218,2302110,"BuildCraft","BuildCraft","Java",784,167,165
219,76001,"UNL_UndergraduateBulletin","unl","PHP",629,521,499
220,1043143,"bootstrap","angular-ui","JavaScript",821,820,788
221,17802,"mongoid","mongoid","Ruby",822,605,361
222,3207718,"FrameworkBenchmarks","TechEmpower","PHP",754,163,135
223,3231545,"traceur-compiler","google","JavaScript",699,673,666
224,2898,"mongo-php-driver","mongodb","C",757,369,368
225,5828347,"habitrpg","HabitRPG","JavaScript",696,449,437
226,4571553,"play1","playframework","Python",803,0,0
227,7770,"pelican","getpelican","Python",788,551,523
228,362972,"class2go","Stanford-Online","JavaScript",822,177,176
229,12703,"chiliproject","chiliproject","Ruby",819,627,553
230,418,"sunpy","sunpy","Python",767,636,499
231,12507,"ariatemplates","ariatemplates","JavaScript",755,698,690
232,1386,"statsmodels","statsmodels","Python",739,541,530
233,3635801,"rr","mozilla","C",783,772,767
234,7212135,"npm","npm","JavaScript",684,587,190
235,37843,"DSpace","DSpace","Java",692,435,423
236,4712205,"MCServer","mc-server","C",713,546,526
237,1531853,"aodn-portal","aodn","JavaScript",712,703,690
238,6700,"ares-project","enyojs","JavaScript",793,326,319
239,23202,"forkcms","forkcms","PHP",700,0,0
240,1182,"scalding","twitter","Scala",714,707,605
241,4821874,"bem-components","bem","JavaScript",617,445,437
242,3056066,"www.ruby-lang.org","ruby","Ruby",690,467,430
243,1219597,"arcavias-core","Arcavias","PHP",776,775,765
244,2713024,"mbed","mbedmicro","C",586,501,486
245,37731,"dbal","doctrine","PHP",713,642,561
246,56186,"nipype","nipy","Python",739,407,168
247,1896,"progit","progit","Ruby",761,512,507
248,6761827,"https-everywhere","EFForg","JavaScript",504,216,192
249,13860,"ruby","ruby","Ruby",697,637,512
250,9384,"wp-cli","wp-cli","PHP",683,545,541
251,4143,"Essentials","essentials","Java",760,363,347
252,74,"libuv","joyent","C",754,665,81
253,1525905,"RapidFTR","rapidftr","JavaScript",758,483,281
254,12258,"devise","plataformatec","Ruby",704,583,340
255,59519,"frontend","alphagov","Ruby",689,326,148
256,6669384,"ead","e-ucm","Java",610,601,594
257,6261105,"homebrew-versions","caskroom","Ruby",516,179,156
258,21597,"geotools","geotools","Java",585,306,249
259,3479,"github-services","github","Ruby",713,646,71
260,43282,"czmq","zeromq","C",629,486,480
261,1953978,"sbt","sbt","Scala",687,289,269
262,4560965,"moment","moment","JavaScript",709,617,549
263,6653643,"scala-js","scala-js","Scala",621,607,272
264,72768,"curriculum","JumpstartLab","JavaScript",716,465,458
265,10941284,"TypeScript","Microsoft","JavaScript",393,355,348
266,7036767,"droidplanner","DroidPlanner","Java",667,248,244
267,48889,"lithium","UnionOfRAD","PHP",727,552,365
268,4812279,"Agora","softwerkskammer","JavaScript",677,676,671
269,4888521,"activator","typesafehub","Scala",558,215,181
270,1665150,"ng-grid","angular-ui","JavaScript",553,481,444
271,7294393,"lmms","LMMS","C++",471,447,436
272,3360645,"phaser","photonstorm","JavaScript",579,289,276
273,3822467,"pp-puppet","alphagov","Ruby",636,615,613
274,6876142,"caffe","BVLC","C++",583,287,278
275,7687582,"jsbin","jsbin","JavaScript",669,437,426
276,9289602,"flynn","flynn","JavaScript",221,200,194
277,11019,"padrino-framework","padrino","Ruby",686,602,466
278,82195,"Addon-Tests","mozilla","Python",698,19,19
279,3136825,"thelia","thelia","PHP",486,485,474
280,2122,"phantomjs","ariya","C++",659,155,43
281,26624,"celery","celery","Python",678,492,121
282,3787,"Aloha-Editor","alohaeditor","JavaScript",688,103,25
283,5465315,"rippled","ripple","C++",515,435,423
284,11450,"piwik","piwik","PHP",529,516,504
285,2719,"sidekiq","mperham","Ruby",647,630,521
286,3411703,"sufia","projecthydra","Ruby",540,491,486
287,17525,"archivesspace","hudmol","JavaScript",692,581,561
288,1312712,"contiki","contiki-os","C",628,598,586
289,1648,"scalaz","scalaz","Scala",652,583,543
290,3821279,"zanata-server","zanata","Java",630,627,20
291,5209,"octopress","imathis","Ruby",680,283,259
292,49876,"qreal","qreal","C++",626,481,467
293,715412,"WP-e-Commerce","wp-e-commerce","PHP",629,0,0
294,11387,"Codeception","Codeception","PHP",596,596,561
295,5778207,"vraptor4","caelum","Java",645,482,474
296,3150475,"balanced-dashboard","balanced","JavaScript",650,649,639
297,41728,"vumi","praekelt","Python",636,278,275
298,7560,"paparazzi","paparazzi","C",574,59,58
299,3054,"developer.github.com","github","Ruby",595,191,0
300,20381,"numerical_computing","byuimpact","Python",626,61,60
301,12885,"rails_admin","sferik","Ruby",643,418,253
302,8809028,"edx-ora2","edx","Python",628,628,622
303,1711636,"cat","dianping","Java",562,417,413
304,2423838,"encoded","ENCODE-DCC","JavaScript",492,490,479
305,896266,"luigi","spotify","Python",430,380,374
306,6015413,"seqan","seqan","C",537,366,352
307,3377,"html5-boilerplate","h5bp","JavaScript",635,37,35
308,50013,"OpenSlides","OpenSlides","Python",577,521,518
309,1941762,"rpcs3","DHrpcs3","C++",506,349,341
310,1368068,"pulp_rpm","pulp","Python",590,0,0
311,2713,"rhc","openshift","Ruby",637,536,511
312,9686313,"fcrepo4","fcrepo4","Java",562,562,550
313,3794,"cgxp","camptocamp","JavaScript",628,331,327
314,1196,"pacemaker","ClusterLabs","C",601,173,143
315,6301,"jshint","jshint","JavaScript",550,371,365
316,5342282,"nikola","getnikola","Python",582,506,499
317,9982829,"Pillow","python-pillow","Python",583,553,536
318,1372754,"canjs","bitovi","JavaScript",560,509,485
319,13255,"veewee","jedi4ever","Ruby",626,184,182
320,2560242,"topaz","topazproject","Python",629,428,426
321,7756,"alloy","appcelerator","JavaScript",582,279,269
322,19371,"web2py","web2py","Python",532,473,466
323,9499997,"OpenBazaar","OpenBazaar","Python",516,404,395
324,2367007,"geotrellis","geotrellis","Scala",555,394,389
325,3215302,"JabbR","JabbR","JavaScript",621,207,201
326,21128,"Haraka","baudehlo","JavaScript",530,151,150
327,38823,"sensu","sensu","Ruby",610,360,271
328,4388,"ninja","martine","C++",578,187,186
329,3601879,"video.js","videojs","JavaScript",536,369,359
330,7415,"mit-license","remy","PHP",567,65,64
331,3217567,"resque","resque","Ruby",610,192,187
332,2546020,"stan","stan-dev","C++",550,413,1
333,544,"sproutcore","sproutcore","JavaScript",604,145,144
334,86752,"invenio","inveniosoftware","Python",447,447,440
335,21122,"graphite-web","graphite-project","JavaScript",529,261,258
336,5350143,"docs","sendgrid","JavaScript",314,202,189
337,2911219,"gaia","CroceRossaCatania","PHP",496,77,5
338,7975648,"frappe","frappe","JavaScript",544,382,378
339,4662620,"hflossk","decause","JavaScript",540,163,153
340,9033666,"LedgerSMB","ledgersmb","JavaScript",524,236,229
341,7269260,"WebsiteOne","AgileVentures","Ruby",588,588,576
342,11131665,"stellar-client","stellar","JavaScript",554,6,6
343,1042189,"webpay","mozilla","Python",567,567,72
344,1085,"flask","mitsuhiko","Python",563,357,337
345,1504740,"webview","Connexions","Python",515,515,512
346,7803,"mezzanine","stephenmcd","Python",557,512,387
347,3934776,"qt-client","xtuple","C++",536,129,123
348,156798,"DGtal","DGtal-team","C++",583,344,323
349,614053,"alaveteli","mysociety","Ruby",522,474,364
350,9459,"cas","Jasig","Java",524,222,214
351,1709,"symfony-docs-fr","symfony-fr","Python",572,49,45
352,5216326,"marathon","mesosphere","Scala",397,377,371
353,3148364,"ralph_assets","allegro","JavaScript",496,489,379
354,1964605,"ardupilot","diydrones","C",460,0,0
355,2956308,"amber","amber-smalltalk","JavaScript",580,394,389
356,12841,"shinken","naparuba","Python",528,74,74
357,3218707,"gaffer","ImageEngine","Python",498,52,52
358,29670,"fabric.js","kangax","JavaScript",538,505,483
359,27439,"mongo-ruby-driver","mongodb","Ruby",533,409,394
360,4959838,"beaker","puppetlabs","Ruby",458,440,304
361,48706,"ESP-Website","learning-unlimited","Python",526,311,310
362,14901,"autotest","autotest","Python",559,107,86
363,9120368,"hound","thoughtbot","Ruby",385,216,216
364,67883,"blaze","ContinuumIO","Python",492,455,444
365,34279,"salt-cloud","saltstack","Python",569,163,161
366,19093,"fuelux","ExactTarget","JavaScript",431,429,365
367,7197777,"micropython","micropython","C",497,253,249
368,7074,"Modernizr","Modernizr","JavaScript",526,422,369
370,9604234,"mercury","Wikia","JavaScript",339,312,301
371,525974,"apps","owncloud","JavaScript",553,160,141
372,3700748,"popcorn.webmaker.org","mozilla","JavaScript",560,555,551
373,937,"grails-core","grails","Java",535,49,35
374,1856,"MopaBootstrapBundle","phiamo","PHP",527,522,384
375,21231,"psychopy","psychopy","Python",474,309,303
376,7078683,"LMIS-Chrome","eHealthAfrica","JavaScript",556,517,497
377,54171,"core","kohana","PHP",530,8,8
378,10040,"mongoose","LearnBoost","JavaScript",470,221,211
379,11624199,"fizteh-java-2014","dkomanov","Java",328,268,252
380,5402577,"dropwizard","dropwizard","Java",483,269,255
382,4234273,"less.js","less","JavaScript",501,80,80
383,6405257,"dkobo","kobotoolbox","Python",481,294,286
384,16444,"easybib-cookbooks","till","Ruby",464,439,433
385,23834,"capybara","jnicklas","Ruby",524,366,262
386,11975,"symfony-standard","symfony","PHP",511,62,26
387,2561674,"junit","junit-team","Java",505,58,55
388,185,"rspec-mocks","rspec","Ruby",471,455,414
389,96553,"sails","balderdashy","JavaScript",482,431,377
390,3296255,"chamilo-lms","chamilo","PHP",424,246,218
391,10679,"fail2ban","fail2ban","Python",475,447,435
392,39075,"cppcheck","danmar","C++",457,351,348
393,42335,"inasafe","AIFDR","Python",330,58,57
394,1173,"scrapy","scrapy","Python",505,446,272
395,1802891,"ilios","ilios","PHP",503,438,426
396,2315,"Spout","SpoutDev","Java",526,47,46
397,5645492,"superdesk-server","superdesk","Python",335,333,329
398,994315,"elliptics","reverbrain","C",519,63,63
399,2367064,"asciidoctor","asciidoctor","Ruby",496,411,401
400,1523,"marketplace-tests","mozilla","Python",489,82,79
401,181526,"sentry","getsentry","Python",477,272,262
402,327962,"growstuff","Growstuff","Ruby",440,377,361
403,6086,"silverstripe-cms","silverstripe","PHP",514,301,294
404,7606238,"encore-ui","rackerlabs","JavaScript",407,400,395
405,9856617,"Kawaz3rd","kawazrepos","Python",336,336,334
406,22981,"Crafty","craftyjs","JavaScript",480,65,63
407,21703,"right_link","rightscale","Ruby",494,7,7
408,2820036,"pixi.js","GoodBoyDigital","JavaScript",421,267,261
409,9119157,"BridgePF","Sage-Bionetworks","Java",307,304,60
410,70480,"uPortal","Jasig","Java",455,315,223
411,1301,"heroku","heroku","Ruby",390,327,261
412,44604,"Limnoria","ProgVal","Python",396,243,216
413,4898514,"aerogear-unifiedpush-server","aerogear","Java",428,428,417
414,2696,"phpunit","sebastianbergmann","PHP",454,233,227
415,20429,"paperclip","thoughtbot","Ruby",488,400,247
416,44168,"mongodb-odm","doctrine","PHP",481,321,234
417,9553148,"SearchWorks","sul-dlss","Ruby",481,481,473
418,8730,"fjord","mozilla","Python",377,0,0
419,4114,"CocoaPods","CocoaPods","Ruby",423,407,349
420,2893590,"open-data-certificate","theodi","JavaScript",452,113,107
421,6304519,"jcabi-github","jcabi","Java",460,102,100
422,8525,"stylus","LearnBoost","JavaScript",472,217,208
423,8221199,"openmw","OpenMW","C++",352,330,323
424,8970485,"OpenRCT2","IntelOrca","C",356,146,142
425,107599,"rootpy","rootpy","Python",488,473,471
426,931243,"adhocracy","liqd","Python",487,389,313
427,114,"zepto","madrobby","JavaScript",474,220,172
428,26666,"Elastica","ruflin","PHP",435,354,258
429,608,"errbit","errbit","Ruby",431,389,173
430,4706454,"protractor","angular","JavaScript",389,307,298
431,5351802,"hashstack","hashdist","Python",358,345,341
432,2861886,"avalon","avalonmediasystem","JavaScript",404,33,32
433,3123774,"vhs","FluidTYPO3","PHP",446,356,353
434,7748273,"wagtail","torchbox","Python",374,360,357
435,20786,"bosh","cloudfoundry","Ruby",450,443,427
436,9550562,"beaker-notebook","twosigma","JavaScript",320,209,206
437,19535,"pybossa","PyBossa","Python",418,387,376
438,1029082,"picketlink","picketlink","Java",432,240,70
439,7975316,"geomesa","locationtech","Scala",349,349,340
440,5626,"beets","sampsyo","Python",397,374,342
441,310,"grape","intridea","Ruby",410,402,291
442,3746639,"carrierwave","carrierwaveuploader","Ruby",448,136,133
443,45316,"open-build-service","openSUSE","Ruby",446,395,378
444,296,"abaaso","avoidwork","JavaScript",469,433,421
445,45584,"gallery3","gallery","PHP",468,277,51
446,1912872,"aws-cli","aws","Python",379,375,373
447,5911126,"sulu","sulu-cmf","PHP",286,286,282
448,153369,"ogs","ufz","C++",393,386,384
449,20562,"PDAL","PDAL","C++",319,292,287
450,4090,"luvit","luvit","C",373,301,177
451,8249,"FOSRestBundle","FriendsOfSymfony","PHP",416,349,279
452,3829906,"kat-gui","ChrisBoesch","JavaScript",458,458,438
453,8717081,"DoctrineExtensions","Atlantic18","PHP",443,354,277
454,158585,"XChange","timmolter","Java",383,358,346
455,4403964,"forgottenserver","otland","C++",417,415,407
456,46959,"phpcr-odm","doctrine","PHP",447,368,310
457,54701,"lorsource","maxcom","Java",441,196,196
458,7723296,"olympia","mozilla","Python",357,170,169
459,36713,"node-mongodb-native","mongodb","JavaScript",417,240,35
460,20386,"rspec-expectations","rspec","Ruby",404,377,345
461,2727,"jquery-validation","jzaefferer","JavaScript",430,260,256
462,1372730,"dul-hydra","duke-libraries","Ruby",418,418,414
463,1036,"middleman","middleman","Ruby",427,392,251
464,4251,"phpDocumentor2","phpDocumentor","PHP",427,346,269
