"Id","proj_id","repo_name","owner_login","language","n_pr","n_ci_after","n_ci_after_tested"
465,13347,"orbisgis","irstv","Java",426,90,88
466,3656,"bootstrap-datepicker","eternicode","JavaScript",411,264,254
467,6508040,"spotlight","sul-dlss","Ruby",329,329,325
468,101993,"AdmingeneratorGeneratorBundle","symfony2admingenerator","PHP",432,305,282
469,4141934,"mev","dfci-cccb","Java",431,430,415
470,2909122,"tengine","alibaba","C",436,47,46
471,21750,"dipy","nipy","Python",346,323,311
472,71334,"teuthology","ceph","Python",350,0,0
473,7653719,"tp-libvirt","autotest","Python",357,261,261
474,5565502,"bonnie","projecttacoma","Ruby",408,408,405
475,3542506,"windup","windup","Java",299,52,1
476,4612733,"OpenStudio","NREL","C++",384,235,1
477,18104,"guzzle","guzzle","PHP",410,409,361
478,24524,"atk4","atk4","PHP",412,176,173
479,6437914,"ionic","driftyco","JavaScript",365,362,231
480,20849,"blacklight","projectblacklight","Ruby",345,312,308
481,1565,"rspec-rails","rspec","Ruby",377,341,276
482,6785,"tinymce","tinymce","JavaScript",418,78,0
483,11744,"Propel2","propelorm","PHP",400,322,271
484,4059324,"missionhub","CruGlobal","Ruby",384,261,261
485,62586,"ettercap","Ettercap","C",407,256,247
486,3289197,"thimble.webmaker.org","mozilla","JavaScript",419,403,399
487,33666,"wakame-vdc","axsh","Ruby",418,233,1
488,20701,"mantisbt","mantisbt","PHP",401,327,317
489,3150169,"flux","FluidTYPO3","PHP",402,287,282
490,13546,"nbites","northern-bites","C++",424,156,61
491,7289481,"OpenMS","OpenMS","C++",298,286,279
493,81748,"libcloud","apache","Python",351,212,207
494,7106,"wdntemplates","unl","JavaScript",422,97,93
495,22385,"miro","pculture","Python",426,81,22
496,3918,"mrjob","Yelp","Python",414,150,146
497,4909,"cjdns","cjdelisle","C",391,266,249
498,5754,"_s","Automattic","PHP",400,33,32
499,5769828,"stratosphere","stratosphere","Java",421,407,350
500,10224575,"opentxs","Open-Transactions","C++",290,288,154
501,9422,"fish-shell","fish-shell","C++",398,102,101
502,3051792,"habitrpg-shared","HabitRPG","JavaScript",319,297,279
503,21752,"jsdom","tmpvar","JavaScript",380,166,165
504,3263294,"hy","hylang","Python",381,333,330
505,738430,"angular-strap","mgcrea","JavaScript",336,336,328
506,3110119,"backdrop","alphagov","Python",368,307,256
507,4804053,"wordpress-seo","Yoast","PHP",337,322,318
508,13813,"oh-mainline","openhatch","Python",377,308,302
509,29253,"numba","numba","Python",323,295,272
510,18170,"shoes4","shoes","Ruby",342,341,313
511,1438441,"active_model_serializers","rails-api","Ruby",383,297,291
512,3714,"connect","senchalabs","JavaScript",409,193,192
513,3130647,"talkilla","mozilla","JavaScript",411,409,401
514,18716,"rubygems","rubygems","Ruby",381,288,228
515,8556399,"scikit-bio","biocore","Python",374,365,356
516,86988,"ojs","pkp","PHP",332,219,201
517,9525,"Propel","propelorm","PHP",402,247,236
518,17971,"spray","spray","Scala",395,335,332
519,6242667,"digiroad2","finnishtransportagency","JavaScript",341,340,124
520,3331025,"scalatest","scalatest","Scala",352,134,134
521,901621,"JohnTheRipper","magnumripper","C",390,121,120
522,3890188,"cyder","OSU-Net","Python",372,81,81
523,4290149,"serverspec","serverspec","Ruby",381,230,227
524,12132,"rails-i18n","svenfuchs","Ruby",387,221,192
525,6420548,"fxa-auth-server","mozilla","JavaScript",382,382,379
526,4834743,"girder","girder","Python",250,220,217
527,6178378,"WP-API","WP-API","PHP",266,227,221
528,23569,"brakeman","presidentbeef","Ruby",359,356,282
529,5047916,"blueflood","rackerlabs","Java",357,297,292
530,6399876,"ossec-hids","ossec","C",313,311,308
531,833,"redis-doc","antirez","Ruby",355,191,190
532,18883,"bem-bl","bem","JavaScript",359,197,194
533,51900,"werkzeug","mitsuhiko","Python",356,162,159
534,8721,"openscad","openscad","C++",330,194,154
535,64336,"rstat.us","hotsh","Ruby",387,235,131
536,35770,"rubygems.org","rubygems","Ruby",274,212,160
537,18892,"middleman-guides","middleman","Ruby",328,38,38
538,64383,"tiddlyspace","TiddlySpace","JavaScript",387,6,6
539,1960221,"deegree3","deegree","Java",365,141,112
540,2281,"gradle","gradle","Java",345,92,91
541,15841,"simple_form","plataformatec","Ruby",379,317,174
542,4604,"waterbear","waterbearlang","JavaScript",306,0,0
543,10505,"gunicorn","benoitc","Python",358,262,244
544,3086437,"karma","karma-runner","JavaScript",369,222,218
545,6456,"qtile","qtile","Python",334,133,59
546,517631,"packaging","puppetlabs","Ruby",352,86,86
547,59636,"PHProjekt","Mayflower","PHP",381,128,113
548,8423,"znc","znc","C++",302,220,216
549,42812,"puppetlabs-firewall","puppetlabs","Ruby",327,252,237
550,24423,"puppetlabs-stdlib","puppetlabs","Ruby",329,213,201
551,24293,"pootle","translate","Python",321,316,311
552,3271842,"ralph_pricing","allegro","Python",329,312,224
553,11665645,"opendata.cern.ch","cernopendata","Python",271,102,100
554,9384999,"gatewayd","ripple","JavaScript",268,266,250
555,3817505,"openvault","afred","Ruby",292,289,283
556,111811,"picard","musicbrainz","Python",357,184,184
557,9238192,"ivory","ambiata","Scala",264,243,241
558,62421,"taglib","taglib","C++",358,286,284
559,3219054,"FOSElasticaBundle","FriendsOfSymfony","PHP",351,222,217
560,7363221,"core","opencrowbar","JavaScript",258,112,112
562,8725128,"tajo","apache","Java",232,225,222
563,4350728,"genometools","genometools","C",310,309,306
564,28376,"qupzilla","QupZilla","C++",363,47,46
565,29643,"phpseclib","phpseclib","PHP",304,297,290
566,35079,"croogo","croogo","PHP",359,296,259
567,1617577,"programmes-plant","unikent","JavaScript",341,288,281
568,176,"chaplin","chaplinjs","JavaScript",371,253,249
569,5217073,"summingbird","twitter","Scala",345,241,240
570,595203,"drush","drush-ops","PHP",306,306,297
571,1934313,"rt-thread","RT-Thread","C",323,300,297
572,5162,"twitter-bootstrap-rails","seyhunak","Ruby",363,346,228
573,48190,"ldc","ldc-developers","C",341,300,295
574,5424298,"loopback","strongloop","JavaScript",299,245,240
575,202631,"oce","tpaviot","C++",366,46,45
576,6483396,"onadata","onaio","Python",328,325,313
577,14279,"highlight.js","isagalaev","JavaScript",316,43,43
578,6299035,"analytics.js-integrations","segmentio","JavaScript",307,307,302
579,56050,"Faker","fzaninotto","PHP",337,324,301
580,11638,"readthedocs.org","rtfd","Python",348,225,224
581,7358769,"appleseed","appleseedhq","C",292,115,114
582,11821,"androidannotations","excilys","Java",347,56,56
583,14441,"HWIOAuthBundle","hwi","PHP",352,352,286
584,1884014,"botocore","boto","Python",294,291,287
585,692866,"GWTP","ArcBees","Java",314,0,0
586,19844,"publisher","alphagov","Ruby",276,174,11
587,51343,"SonataMediaBundle","sonata-project","PHP",343,309,229
588,832648,"FieldDB","OpenSourceFieldlinguistics","JavaScript",326,125,118
589,1871853,"ckanext-canada","open-data","JavaScript",344,88,85
590,17589,"shoulda-matchers","thoughtbot","Ruby",328,311,247
591,6515823,"adam","bigdatagenomics","Scala",302,179,5
592,70769,"rummager","alphagov","Ruby",307,219,24
593,8246028,"wesnoth","wesnoth","C++",321,297,289
594,101854,"mopidy","mopidy","Python",315,277,275
595,25213,"slick","slick","Scala",325,168,164
596,11000,"gaia-email-libs-and-more","mozilla-b2g","JavaScript",336,118,117
597,42446,"ql.io","ql-io","JavaScript",359,282,27
598,22616,"retrofit","square","Java",332,274,272
599,4944192,"moneymanagerex","moneymanagerex","C",268,268,254
600,4687991,"husky","massiveart","JavaScript",312,309,302
601,3409,"jigoshop","jigoshop","PHP",326,147,82
602,7266,"networkx","networkx","Python",315,215,215
603,31472,"jubatus","jubatus","C++",328,320,239
604,5588556,"oregondigital","OregonDigital","Ruby",309,309,295
605,10038221,"runtime","tessel","JavaScript",316,215,23
606,5068817,"distarray","enthought","C",351,329,311
607,5142,"cython","cython","Python",319,152,148
608,52687,"ontohub","ontohub","Ruby",311,309,307
609,44436,"Board3-Portal","board3","PHP",310,160,157
610,4794575,"zephir","phalcon","C",302,299,297
611,1678,"cucumber","cucumber","Ruby",344,303,215
612,123640,"phpspec","phpspec","PHP",310,279,269
613,1113,"travis-core","travis-ci","Ruby",327,327,274
614,3075805,"huginn","cantino","Ruby",317,314,309
615,822535,"jbosstools-website","jbosstools","JavaScript",271,264,261
616,3283627,"SimpleCV","sightmachine","Python",346,124,113
617,3235578,"H2GIS","irstv","Java",313,285,266
618,2888,"fluentd","fluent","Ruby",297,216,208
619,1430784,"framework","qcubed","PHP",268,240,227
620,1028984,"grunt","gruntjs","JavaScript",334,183,171
621,3573111,"vispy","vispy","Python",288,282,273
622,12163,"avoinministerio","avoinministerio","Ruby",344,328,117
623,1729,"Minecraft-Overviewer","overviewer","Python",337,116,115
624,1397979,"aws-sdk-ruby","aws","Ruby",325,244,241
625,911555,"YiiBooster","clevertech","JavaScript",338,32,28
626,10088234,"helios","spotify","Java",246,245,114
627,45347,"mootools-more","mootools","JavaScript",337,41,40
628,1373571,"lodmill","lobid","Java",312,312,310
629,89852,"Vellum","dimagi","JavaScript",265,189,183
630,13021,"suspenders","thoughtbot","Ruby",288,278,254
631,3377196,"ZoneMinder","ZoneMinder","PHP",255,183,168
632,3818,"node-browserify","substack","JavaScript",313,272,224
634,1539283,"generator-angular","yeoman","JavaScript",310,300,292
635,59743,"astroquery","astropy","Python",319,301,301
636,69663,"Flexget","Flexget","Python",272,260,255
637,6823666,"WikibaseDataModel","wmde","PHP",243,243,236
638,11860,"thebuggenie","thebuggenie","PHP",319,47,39
639,28304,"django-extensions","django-extensions","Python",307,212,200
640,39021,"core-geonetwork","geonetwork","JavaScript",296,63,61
641,3777512,"PocketMine-MP","PocketMine","PHP",290,277,144
642,3358082,"fof","akeeba","PHP",300,213,198
643,16729,"geocoder","alexreisner","Ruby",304,206,200
644,334,"reveal.js","hakimel","JavaScript",318,218,212
645,7058,"pry","pry","Ruby",316,288,219
646,21721,"leechcraft","0xd34df00d","C++",327,95,42
647,31779,"travis-build","travis-ci","Ruby",270,270,246
648,33584,"metacpan-web","CPAN-API","JavaScript",320,244,233
649,46880,"SonataPageBundle","sonata-project","PHP",303,297,228
650,13127,"thrift","apache","C++",235,163,156
651,3173796,"exist","eXist-db","Java",269,260,257
652,48764,"cucumber-jvm","cucumber","Java",319,244,186
653,59074,"avian","ReadyTalk","C++",292,269,266
654,13573,"bnd","bndtools","Java",223,104,97
655,23830,"mootools-core","mootools","JavaScript",315,73,72
656,2705,"mail","mikel","Ruby",323,243,155
657,12695,"monolog","Seldaek","PHP",288,251,217
658,4612,"mapnik","mapnik","C++",286,216,203
659,4252,"dygraphs","danvk","JavaScript",293,19,19
660,36569,"platform","proofpoint","Java",283,3,3
661,12558,"framework","lift","Scala",293,0,0
662,934,"jedis","xetorthio","Java",274,97,95
663,3213962,"stacktach","rackerlabs","Python",320,135,135
664,7826,"fpm","jordansissel","Ruby",315,242,98
665,6444905,"helpful-web","asm-helpful","Ruby",316,316,307
666,11441,"pyzmq","zeromq","Python",305,215,204
667,1349059,"ledger","ledger","C++",250,85,84
668,51965,"sandbox","sonata-project","PHP",292,288,75
669,69357,"solitude","mozilla","Python",292,292,27
670,67190,"docs","railsbridge","Ruby",295,212,196
671,55275,"biopython","biopython","Python",294,248,233
672,11338,"pygit2","libgit2","C",291,230,216
673,22528,"formtastic","justinfrench","Ruby",305,209,100
674,55411,"rugged","libgit2","C",304,251,248
675,2496321,"generator","yeoman","JavaScript",296,228,227
676,1960528,"Parsley.js","guillaumepotier","JavaScript",273,273,266
677,1041,"zipkin","twitter","Scala",312,309,172
678,4274814,"ember-app-kit","stefanpenner","JavaScript",311,279,232
679,2784,"calabash-ios","calabash","Ruby",268,114,103
680,3720099,"picasso","square","Java",278,118,118
681,12765,"flask-admin","mrjoes","Python",250,226,219
682,6494034,"bitcoinj","bitcoinj","Java",265,92,92
683,3094,"qunit","jquery","JavaScript",282,121,120
684,10610,"statsd","etsy","JavaScript",307,249,240
685,1175,"PyOP2","OP2","Python",305,135,135
686,15241,"phing","phingofficial","PHP",244,171,167
687,9682677,"coderwall","assemblymade","JavaScript",241,239,226
688,3219349,"write-it","ciudadanointeligente","Python",247,229,222
689,15664,"django-timepiece","caktus","Python",309,52,52
690,6717841,"kite","kite-sdk","Java",241,241,238
691,29078,"SonataUserBundle","sonata-project","PHP",293,245,200
692,21571,"casperjs","n1k0","JavaScript",291,289,218
693,1362806,"draper","drapergem","Ruby",306,299,180
694,16922,"engine","locomotivecms","Ruby",304,201,115
695,4977,"cuckoo","cuckoobox","Python",277,65,55
696,1743,"django-allauth","pennersr","Python",278,210,206
697,18336,"ZfcUser","ZF-Commons","PHP",296,57,56
698,11602,"travis-cookbooks","travis-ci","Ruby",253,177,175
699,3486982,"streamhub-sdk","Livefyre","JavaScript",285,247,226
700,24428,"riak-java-client","basho","Java",304,216,31
701,23435,"urllib3","shazow","Python",282,200,199
702,16166,"guard","guard","Ruby",268,251,156
703,1993558,"Hercules","HerculesWS","C",240,222,217
704,16998,"hexchat","hexchat","C",289,140,136
705,1361727,"zipline","quantopian","Python",258,258,254
706,618195,"ProMotion","clearsightstudio","Ruby",263,241,236
707,6718190,"specinfra","serverspec","Ruby",226,224,222
708,11371,"Bonfire","ci-bonfire","PHP",293,18,1
709,319220,"gooddata-ruby","gooddata","Ruby",242,213,192
710,189579,"raven-python","getsentry","Python",282,194,180
711,9972987,"ng-cordova","driftyco","JavaScript",211,29,20
712,696536,"seqware","SeqWare","Java",272,0,0
713,1911,"PHP_CodeSniffer","squizlabs","PHP",256,250,1
714,7783514,"osc-plugin-factory","openSUSE","Python",263,241,239
715,25681,"NelmioApiDocBundle","nelmio","PHP",293,292,246
716,13181,"pythran","serge-sans-paille","Python",270,30,29
717,19443,"marionette-collective","puppetlabs","Ruby",262,141,140
718,3055228,"parquet-mr","Parquet","Java",295,287,286
719,10412,"omniauth","intridea","Ruby",291,202,32
721,17519,"assetic","kriswallsmith","PHP",286,210,182
722,128749,"mozmill-ci","mozilla","Python",270,75,75
723,5667065,"quark","rackerlabs","Python",219,218,212
724,5580485,"firedrake","firedrakeproject","C",240,224,220
725,106514,"pyclaw","clawpack","Python",273,197,153
726,65399,"conductor","aeolusproject","Ruby",291,288,217
727,3346024,"mackup","lra","Python",237,165,133
728,2653822,"login.webmaker.org","mozilla","JavaScript",287,277,268
729,546037,"android","owncloud","Java",239,139,139
730,1331862,"poco","pocoproject","C",243,214,113
731,25156,"govuk_content_models","alphagov","Ruby",241,159,43
732,3284624,"koreader-base","koreader","C",251,155,155
733,32136,"the_silver_searcher","ggreer","C",248,22,22
734,3208,"ua-parser","tobie","PHP",283,226,223
735,10856,"forem","radar","Ruby",276,266,161
736,23203,"magento2","magento","PHP",209,33,30
737,6957,"shark","amplab","Scala",285,221,0
738,2760274,"appium-dot-app","appium","JavaScript",253,182,174
739,7149279,"gulp","gulpjs","JavaScript",249,249,247
740,1423180,"gist-mail","sanemat","Ruby",280,268,268
741,4796618,"webtrees","fisharebest","PHP",212,35,32
742,8193585,"ratchet","twbs","JavaScript",270,117,116
743,6504,"KunstmaanAdminBundle","Kunstmaan","JavaScript",280,232,169
744,407274,"catkin","ros","Python",275,43,43
745,56659,"Behat","Behat","PHP",268,240,160
746,6427224,"xe-core","xpressengine","PHP",219,218,216
747,164139,"cpputest","cpputest","C++",258,243,240
748,9840,"mongo-java-driver","mongodb","Java",270,181,169
749,8653989,"autotest-docker","autotest","Python",234,92,90
750,5433,"hallway","Singly","JavaScript",280,227,219
751,785823,"remoteStorage.js","RemoteStorage","JavaScript",265,245,39
752,2254383,"selenium","SeleniumHQ","JavaScript",249,69,1
753,3795273,"doxygen","doxygen","C++",227,220,218
754,4835098,"pombola","mysociety","Python",258,84,83
755,40080,"concerto","concerto","Ruby",265,265,255
756,597361,"coworfing","nukomeet","Ruby",276,127,107
757,121,"propelorm.github.com","propelorm","JavaScript",267,76,73
758,1341241,"tracing-framework","google","JavaScript",274,273,236
759,774,"Socorro-Tests","mozilla","Python",256,15,15
760,395042,"jquery.ime","wikimedia","JavaScript",272,54,9
761,6770092,"genshyft","ChrisBoesch","JavaScript",274,274,269
762,6584,"liquid","Shopify","Ruby",264,241,198
763,6929008,"homebrew-fonts","caskroom","Ruby",224,48,42
764,918502,"cellcounter","cellcounter","Python",263,231,218
765,218725,"sbt-native-packager","sbt","Scala",228,153,151
766,2281158,"openfluid","OpenFLUID","C++",243,52,49
767,10559,"Sinon.JS","cjohansen","JavaScript",241,182,170
768,7933571,"coding-events","codeeu","Python",272,226,220
769,2847808,"ui-router","angular-ui","JavaScript",255,250,233
770,34,"android","github","Java",194,107,105
771,10307,"chef-logstash","lusis","Ruby",265,260,244
772,4846,"handlebars.js","wycats","JavaScript",254,204,175
773,66318,"player","Animatron","JavaScript",237,180,176
774,13988,"OpenSC","OpenSC","C",242,0,0
775,194456,"opengm","opengm","C++",261,169,164
776,849289,"georchestra","georchestra","Java",254,189,178
777,4275487,"ci-puppet","alphagov","Ruby",231,70,68
778,15651,"capifony","everzet","Ruby",265,130,71
779,8466,"puppetlabs-rabbitmq","puppetlabs","Ruby",210,180,177
780,3425,"SonataDoctrineORMAdminBundle","sonata-project","PHP",254,249,147
781,2420627,"browscap","browscap","PHP",235,234,233
782,37723,"common","doctrine","PHP",257,192,110
783,162539,"wouso","rosedu","Python",204,29,27
784,64830,"mapserver","mapserver","C",251,213,151
785,7652132,"tp-qemu","autotest","Python",213,136,136
786,7825235,"beyondz-platform","beyond-z","Ruby",235,192,186
787,8991,"bem-tools","bem","JavaScript",258,245,204
788,288440,"EFG","alphagov","Ruby",252,232,26
789,2279094,"SpiderOakMobileClient","SpiderOak","JavaScript",245,245,233
790,7894,"money","RubyMoney","Ruby",234,202,153
791,2747076,"joomla-framework","joomla","PHP",261,261,260
792,4239601,"sbt-remote-control","sbt","Scala",208,130,119
793,9098258,"cheerio","cheeriojs","JavaScript",238,226,208
794,457398,"phantomas","macbre","JavaScript",217,167,166
795,773732,"titanium-code-processor","appcelerator","JavaScript",259,1,1
796,8497,"nvd3","novus","JavaScript",219,0,0
797,422,"ember-rails","emberjs","Ruby",228,225,171
798,120322,"algebird","twitter","Scala",225,218,167
799,21093,"activerecord-jdbc-adapter","jruby","Ruby",250,194,134
800,3240873,"skylines","skylines-project","JavaScript",243,231,227
801,6436054,"ecommerce","sonata-project","PHP",229,228,224
802,231,"celluloid","celluloid","Ruby",247,233,218
803,234223,"geoext2","geoext","JavaScript",223,49,48
804,80421,"LiipImagineBundle","liip","PHP",239,222,179
805,3052226,"XBlock","edx","Python",235,214,61
806,7233,"sunspot","sunspot","Ruby",254,171,108
807,687,"launchpad","gwu-libraries","Python",213,206,194
808,2311994,"nanoc","nanoc","Ruby",227,138,109
809,1843,"bitcoinjs-lib","bitcoinjs","JavaScript",219,185,183
810,2876,"async","caolan","JavaScript",243,34,33
811,17196,"riak-python-client","basho","Python",242,160,98
812,3254365,"zf1","zendframework","PHP",218,186,186
813,8310,"comfortable-mexican-sofa","comfy","Ruby",237,183,116
814,66865,"VisitorChat","unl","PHP",250,249,143
815,857627,"dagger","square","Java",246,209,201
816,7049978,"reicast-emulator","reicast","C",239,210,5
817,306638,"dimagi-utils","dimagi","Python",224,139,137
818,1874305,"moveit_ros","ros-planning","C++",228,110,98
819,1838098,"Kotti","Kotti","Python",210,95,91
820,288694,"airlift","airlift","Java",224,101,100
821,884722,"angular-leaflet-directive","tombatossals","JavaScript",218,122,116
822,11247,"yeoman.io","yeoman","JavaScript",216,146,40
823,17373,"eutester","eucalyptus","Python",234,109,106
824,2146,"mongo-python-driver","mongodb","Python",244,55,3
825,26697,"mcMMO","mcMMO-Dev","Java",241,106,26
826,33145,"clearance","thoughtbot","Ruby",206,179,142
827,3671,"sorcery","NoamB","Ruby",241,184,131
828,141927,"rubyspec","rubyspec","Ruby",236,109,108
829,2717829,"typeahead.js","twitter","JavaScript",246,246,243
830,276993,"lims-core","sanger","Ruby",246,183,168
831,6081539,"ieee","CalPolyIEEE","Python",238,220,216
832,6205,"tweepy","tweepy","Python",221,142,115
833,147,"ActionBarSherlock","JakeWharton","Java",245,120,117
834,738258,"turtle.io","avoidwork","JavaScript",244,244,235
836,5483,"node-restify","mcavage","JavaScript",232,221,167
837,42745,"django-debug-toolbar","django-debug-toolbar","Python",238,164,148
838,42750,"panopticon","alphagov","Ruby",228,151,29
839,6570,"hiera","puppetlabs","Ruby",205,107,105
840,3183404,"commafeed","Athou","Java",233,12,11
841,62039,"wymeditor","wymeditor","JavaScript",192,105,104
842,12302,"puma","puma","Ruby",226,207,194
843,27859,"capybara-webkit","thoughtbot","Ruby",232,83,81
844,619818,"frontend","bountysource","JavaScript",241,215,206
845,19117,"virtualenv","pypa","Python",218,142,124
846,43061,"supercollider","supercollider","C++",210,38,32
847,295815,"casexml","dimagi","Python",239,187,187
848,8016,"android-async-http","loopj","Java",224,118,110
849,518450,"refinerycms-blog","refinery","Ruby",219,47,45
850,2479001,"Sylius-Docs","Sylius","Python",202,56,56
851,14952,"node-postgres","brianc","JavaScript",224,178,170
852,85135,"atlas-model","atlasapi","Java",229,26,25
853,5932962,"cylon","hybridgroup","JavaScript",218,218,135
854,6413,"commons","twitter","Java",228,172,170
855,316,"kaminari","amatsuda","Ruby",227,172,85
856,10146,"node-http-proxy","nodejitsu","JavaScript",221,146,134
857,525,"html5please","h5bp","JavaScript",220,0,0
858,4738006,"frontend-www","theodi","Ruby",229,33,32
859,24393,"nodeclub","cnodejs","JavaScript",223,197,179
860,1361512,"pyrax","rackspace","Python",213,199,198
861,35703,"groonga","groonga","C",212,204,183
862,1375228,"zyre","zeromq","C",209,144,139
863,6842298,"Mudlet","Mudlet","C++",212,200,193
864,40889,"Claroline","claroline","JavaScript",229,165,162
865,248963,"imbo","imbo","PHP",228,216,175
866,21276,"prawn","prawnpdf","Ruby",223,158,156
867,11020,"vienna-rss","ViennaRSS","C",211,0,0
868,18478,"nipy","nipy","C",233,15,15
869,1299795,"curriculum","opsschool","Python",219,204,196
870,5464,"sprockets","sstephenson","Ruby",216,207,131
871,1477835,"eve","nicolaiarocci","Python",207,207,187
872,5543456,"sensor-cloud-website","projectcs13","Ruby",232,222,213
873,16245,"FOSCommentBundle","FriendsOfSymfony","PHP",227,161,99
874,7178,"foreman","ddollar","Ruby",224,184,137
875,2438,"BubbleWrap","rubymotion","Ruby",227,120,119
876,9146,"trema","trema","C",224,117,65
877,127064,"Hydra","Findwise","Java",219,109,107
878,7317,"scribe-java","fernandezpablo85","Java",226,141,103
879,4185415,"sm","xapi-project","Python",218,61,14
880,2283104,"ooni-probe","TheTorProject","Python",216,152,151
881,7172,"dustjs","linkedin","JavaScript",216,215,162
882,4587149,"Gandalf","ZeusWPI","Ruby",226,106,101
883,26688,"supervisor","Supervisor","Python",205,139,137
884,27490,"DoctrineModule","doctrine","PHP",216,199,163
885,211549,"freeseer","Freeseer","Python",209,123,121
886,717057,"fwdays","stfalcon","PHP",217,137,134
887,28824,"cloud_controller_ng","cloudfoundry","Ruby",215,215,211
888,475682,"torque","adaptivecomputing","C",222,115,19
889,16927,"candycane","yandod","PHP",222,185,116
890,868,"pivotal_workstation","pivotal","Ruby",223,193,163
891,53260,"notification_server","telefonicaid","JavaScript",207,207,180
892,76826,"bcfg2","Bcfg2","Python",199,163,155
893,4813290,"regulations-parser","cfpb","Python",218,203,203
894,1611658,"MakeAPI","mozilla","Python",218,199,199
895,17000,"django-filer","stefanfoulis","Python",203,142,116
896,7905617,"webmaker-events-2","mozilla","JavaScript",213,80,79
897,28204,"YouCompleteMe","Valloric","C++",202,152,150
898,5320197,"BinPy","BinPy","Python",220,213,200
899,68256,"logback","qos-ch","Java",204,0,0
900,982592,"flowplayer","flowplayer","JavaScript",199,43,1
901,42626,"spyne","arskom","Python",206,117,113
902,13909,"lims-api","sanger","Ruby",219,177,165
903,11124,"acts-as-taggable-on","mbleigh","Ruby",210,182,143
904,11388911,"macovei","readfwd","JavaScript",213,213,199
905,1369530,"Laravel-Administrator","FrozenNode","JavaScript",202,148,145
906,1449648,"mortar","mortardata","Ruby",216,184,183
907,1448496,"cookcountyjail","sc3","Python",212,73,73
908,21695,"awestruct","awestruct","Ruby",214,166,159
909,3143000,"ember-model","ebryn","JavaScript",216,216,215
910,5167,"fabric","fabric","Python",202,166,123
911,515933,"ros_comm","ros","C++",205,168,1
912,777221,"support","alphagov","Ruby",211,132,88
913,4735,"tiled","bjorn","C++",198,128,126
914,101039,"KnpBundles","KnpLabs","PHP",211,182,95
915,1721268,"crawljax","crawljax","Java",205,202,23
916,3719,"flot","flot","JavaScript",209,108,104
917,37492,"feincms","feincms","Python",211,46,46
918,22906,"node-mysql","felixge","JavaScript",204,170,137
919,35155,"Imagine","avalanche123","PHP",204,155,120
920,2244,"factory_girl","thoughtbot","Ruby",207,183,84
921,483343,"govuk_content_api","alphagov","Ruby",205,97,57
922,14915,"travis-ci","travis-ci","Ruby",209,201,47
923,25919,"trelby","oskusalerma","Python",209,0,0
924,2749024,"assemble","assemble","JavaScript",209,181,177
925,2610282,"rubber","rubber","Ruby",205,98,98
926,41885,"django-userena","bread-and-pepper","Python",199,0,0
927,5245,"twitter","sferik","Ruby",201,126,87
928,8860,"onyx","enyojs","JavaScript",201,54,54
